RecordDate,Max. CovidPositives
3/5/2023,12110179
3/6/2020,68
3/6/2021,3654074
3/6/2022,9012485
3/6/2023,12110179
3/7/2020,94
3/7/2021,3657770
3/7/2022,9019175
3/7/2023,12120965
3/8/2020,113
3/8/2021,3660780
3/8/2022,9022599
3/8/2023,12120965
3/9/2020,136
3/9/2021,3664212
3/9/2022,9027190
3/9/2023,12129699
4/1/2020,9265
4/1/2021,3729907
4/1/2022,9108159
4/10/2020,20752
4/10/2021,3759644
4/10/2022,9132315
4/11/2020,21461
4/11/2021,3762711
4/11/2022,9135251
4/12/2020,22204
4/12/2021,3764512
4/12/2022,9144251
4/13/2020,23406
4/13/2021,3767188
4/13/2022,9145415
4/14/2020,24544
4/14/2021,3769521
4/14/2022,9152705
4/15/2020,26356
4/15/2021,3772212
4/15/2022,9155354
4/16/2020,27578
4/16/2021,3775299
4/16/2022,9155494
4/17/2020,29296
4/17/2021,3778112
4/17/2022,9155623
4/18/2020,30642
4/18/2021,3780219
4/18/2022,9166743
4/19/2020,31307
4/19/2021,3781967
4/19/2022,9169921
4/2/2020,10764
4/2/2021,3734798
4/2/2022,9108241
4/20/2020,33562
4/20/2021,3784338
4/20/2022,9171401
4/21/2020,35753
4/21/2021,3786940
4/21/2022,9183884
4/22/2020,37748
4/22/2021,3789003
4/22/2022,9188997
4/23/2020,39596
4/23/2021,3790067
4/23/2022,9189235
4/24/2020,41466
4/24/2021,3792410
4/24/2022,9189477
4/25/2020,42432
4/25/2021,3794549
4/25/2022,9206657
4/26/2020,43735
4/26/2021,3796285
4/26/2022,9211559
4/27/2020,45313
4/27/2021,3798103
4/27/2022,9213634
4/28/2020,46828
4/28/2021,3799797
4/28/2022,9227563
4/29/2020,49223
4/29/2021,3801766
4/29/2022,9233240
4/3/2020,12088
4/3/2021,3736599
4/3/2022,9108309
4/30/2020,50711
4/30/2021,3804036
4/30/2022,9233538
4/4/2020,12834
4/4/2021,3738230
4/4/2022,9115323
4/5/2020,14489
4/5/2021,3741525
4/5/2022,9117881
4/6/2020,15999
4/6/2021,3743960
4/6/2022,9119215
4/7/2020,17096
4/7/2021,3746401
4/7/2022,9126998
4/8/2020,18576
4/8/2021,3749186
4/8/2022,9132105
4/9/2020,19536
4/9/2021,3754339
4/9/2022,9132204
5/1/2020,52545
5/1/2021,3806438
5/1/2022,9233850
5/10/2020,68452
5/10/2021,3822239
5/10/2022,9323512
5/11/2020,69957
5/11/2021,3823674
5/11/2022,9327352
5/12/2020,71645
5/12/2021,3825277
5/12/2022,9341059
5/13/2020,73677
5/13/2021,3827283
5/13/2022,9350211
5/14/2020,75455
5/14/2021,3829304
5/14/2022,9350682
5/15/2020,77399
5/15/2021,3830829
5/15/2022,9351213
5/16/2020,79469
5/16/2021,3831911
5/16/2022,9391616
5/17/2020,81055
5/17/2021,3832699
5/17/2022,9403058
5/18/2020,82501
5/18/2021,3833766
5/18/2022,9408489
5/19/2020,84648
5/19/2021,3835190
5/19/2022,9437208
5/2/2020,53883
5/2/2021,3808072
5/2/2022,9254583
5/20/2020,86926
5/20/2021,3836990
5/20/2022,9449052
5/21/2020,89235
5/21/2021,3838354
5/21/2022,9449587
5/22/2020,91479
5/22/2021,3839725
5/22/2022,9450176
5/23/2020,93546
5/23/2021,3840867
5/23/2022,9495381
5/24/2020,95332
5/24/2021,3841583
5/24/2022,9509640
5/25/2020,97444
5/25/2021,3842918
5/25/2022,9515023
5/26/2020,99913
5/26/2021,3844449
5/26/2022,9545893
5/27/2020,102576
5/27/2021,3849645
5/27/2022,9560939
5/28/2020,104736
5/28/2021,3851029
5/28/2022,9561542
5/29/2020,107877
5/29/2021,3852309
5/29/2022,9562047
5/3/2020,55250
5/3/2021,3809549
5/3/2022,9260862
5/30/2020,111532
5/30/2021,3853019
5/30/2022,9606880
5/31/2020,113865
5/31/2021,3853498
5/31/2022,9620714
5/4/2020,56611
5/4/2021,3811175
5/4/2022,9263961
5/5/2020,59201
5/5/2021,3812749
5/5/2022,9277461
5/6/2020,61080
5/6/2021,3815538
5/6/2022,9288522
5/7/2020,63005
5/7/2021,3817678
5/7/2022,9288879
5/8/2020,65130
5/8/2021,3819558
5/8/2022,9289235
5/9/2020,67261
5/9/2021,3821029
5/9/2022,9315304
6/1/2020,116302
6/1/2021,3854082
6/1/2022,9626457
6/10/2020,140612
6/10/2021,3863647
6/10/2022,9794050
6/11/2020,143622
6/11/2021,3864743
6/11/2022,9794617
6/12/2020,147425
6/12/2021,3865722
6/12/2022,9795203
6/13/2020,150675
6/13/2021,3866363
6/13/2022,9843252
